Date,Shift,Factory,Machine No,Issues,Root Cause,Correction ,Corrective Action,,,
20/08/2023,DAY B,FILLING/AUTOCLAVE,,"Low weight within the range of 136g - 145g volume observed on nozzles 16, 19 and 21 of the CFT machine. And high weight of 152g - 158g observed on Nozzles 17 and 20.","malfunctioning of nozzles 17, 16,19 and 20",Non-conforming weight filled cans were removed from the line ,Adjustment was made to the filling volume,,,
21/08/2023,DAY A,FILLING/AUTOCLAVE,,"Low weight within the range of 132g - 141g volume observed on nozzles 14, 19 and 29 of the CFT machine. And high weight of 152g - 157g observed on Nozzles 16 and 18.","malfunctioning of nozzles 14, 16,18, 19 and 29",Non-conforming weight filled cans were removed from the line ,Adjustment was made to the filling volume,,,
21/08/2023,DAY A,CANNING,,Low overlap on head 3,Excessive high seam length and short end hook,The line was stopped.,The affected head was worked on.,,,
22/08/2023,DAY A,FILLING/AUTOCLAVE,,"Low weight within the range of 134g - 145g volume observed on nozzles 14, 19 and 29 of the CFT machine. And high weight of 153g - 158g observed on Nozzles 16 and 18.","malfunctioning of nozzles 14, 16,18, 19 and 29",Non-conforming weight filled cans were removed from the line ,Adjustment was made to the filling volume,,,
22/08/2023,DAY A,AUTOCLAVE,,"Dented cans in trolleys 37, 38, 39 and 40   (Autoclave 5)",Faulty chiller during cooling resulting in high temperature of cooling water (20 degrees tank water),The cans were sorted and non-conforming ones removed and taken to the bursting section. ,The issue on the chiller was resolved by the engineers. ,,,
23/08/2023,DAY A,FILLING/AUTOCLAVE,,"Low weight within the range of 133g - 146g volume observed on nozzles 14, 19 and 29 of the CFT machine. And high weight of 152g - 158g observed on Nozzles 14, 16 and 18.","malfunctioning of nozzles 14, 16,18, 19 and 29",Non-conforming weight filled cans were removed from the line ,Adjustment was made to the filling volume,,,
23/08/2023,DAY A,FILLING/AUTOCLAVE,,Bad seam (Bottom seam),Bad seam from combination machine,Non-conforming cans were removed from the line and adjustments were made on the combination machine,Adjustment was made on the combination machine ,,,
24/08/2023,DAY B,FILLING/AUTOCLAVE,,"Low weight within the range of 133g - 146g volume observed on nozzles 14, 19 and 29 of the CFT machine. And high weight of 152g - 158g observed on Nozzles 14, 16 and 18.","malfunctioning of nozzles 14, 16,18, 19 and 29",Non-conforming weight filled cans were removed from the line ,Adjustment was made to the filling volume,,,
24/08/2023,DAY B,AUTOCLAVE,,"Low pressure suppied from boiler with 1 min delay during step 3 before sterilization of product. Affected cans in trolleys 4, 5, 6 and 7 (Autoclave 5)",Low pressure supplied from boiler ,pH of samples were checked. pH was within the lower limit.  ,The issue on the chiller was resolved by the engineers. ,,,
24/08/2023,DAY B,FILLING/AUTOCLAVE,,"Low weight within the range of 136g - 145g volume observed on nozzles 16, 19 and 21 of the CFT machine. And high weight of 152g - 158g observed on Nozzles 17 and 20.","malfunctioning of nozzles 17, 16,19 and 20",Non-conforming weight filled cans were removed from the line ,Adjustment was made to the filling volume,,,
24/08/2023,DAY B,FILLING/AUTOCLAVE,,"Drop in pressure from boiler during autoclave at step 3 before sterilization. pH of sample at lower limit of 5.80 . Affected trollley 4,5,6 and 7 from autoclave 5 was placed on hold on pallles 2 of this batch",Pressure drop from boiler ,Affected cans were traced to the pallet 2 and placed on hold for further checks ,adjustment of pressure supply,,,
25/08/2023,DAY B,FILLING/AUTOCLAVE,,"Low weight within the range of 136g - 145g volume observed on nozzles 16, 19 and 21 of the CFT machine. And high weight of 152g - 158g observed on Nozzles 17 and 20.","malfunctioning of nozzles 17, 16,19 and 20",Non-conforming weight filled cans were removed from the line ,Adjustment was made to the filling volume,,,
25/08/2023,DAY B,FILLING/AUTOCLAVE,,Brix value at lower limit ,Filling of the last set of blend ,"Affected trolley was placed on hold for further checks. Trolley 25, 26 and 27. the pallet was placed on hold after packing.  ",Adjustment was made to the filling volume,,,
26/08/2023,DAY B,FILLING/AUTOCLAVE,,"Low weight within the range of 136g - 145g volume observed on nozzles 16, 19 and 21 of the CFT machine. And high weight of 152g - 158g observed on Nozzles 17 and 20.","malfunctioning of nozzles 17, 16,19 and 20",Non-conforming weight filled cans were removed from the line ,Adjustment was made to the filling volume,,,
26/08/2023,DAY B,FILLING/AUTOCLAVE,,Dents on cans due to jamming from top seamer of CFT ,Jamming of machine ,Non-conforming weight filled cans were removed from the line ,Adjustment of machinw was done ,,,
27/08/2023,DAY A,FILLING/AUTOCLAVE,,"Low weight within the range of 125.3g - 138.8g volume observed on nozzles 14, 19, 26 and 29 of the CFT machine and high weight within the range of 155.2g - 157.9g observed on nozzles 3 and 16.",malfunctioning of the nozzles ,Filled cans with non-conforming weight were removed from the line ,Adjustment was made to the filling volume,,,
29/08/2023,DAY A,PACKAGING,,Skipping code,Malfunctioning of the Labelling machine printer head,"Affected cans were removed from the line, cleaned and recoded immediately",Adjustment was made by the operator,,,
02/09/2023,DAY A,FILLING/ AUTOCLAVE,,"Low weight within the range of 129.9g - 141.1g volume observed on nozzles 9, 16, 21 and 28 of the CFT machine and high weight within the range of 155.2g - 157.9g observed on nozzle 27.",malfunctioning of the nozzles ,Filled cans with non-conforming weight were removed from the line ,Adjustment was made to the filling volume,,,
04/09/2023,DAY A,FILLING/ AUTOCLAVE,,Jamming of cans from the seamer heads,Destabilization of the machine,the line was stopped and affected cans were discarded,adjustments were made to restabilize the machine,,,
05/09/2023,DAY B,PACKAGING,,Skipping code/Illegible code,Malfunctioning of the Labelling machine printer head,"Affected cans were removed from the line, cleaned and recoded immediately",Adjustment was made by the operator,,,
08/09/2023,DAY A,FILLING/ AUTOCLAVE,,"Low weight within the range of 123.2g -143.9g volume observed on nozzles 5, 7, 13,14, 19, 21, 28 and 30 of the CFT machine and high weight within the range of 157.3g - 159.9g observed on nozzles 3 and 18.",malfunctioning of the nozzles ,Filled cans with non-conforming weight were removed from the line ,Adjustment was made to the filling volume,,,
08/09/2023,DAY A,PACKAGING,,Bad Seaming (Top Lid),False seaming from seamer head 5,Intercepted cans were removed from the line.,Adjustment was made by the CFT  Operator and Engineer,,,
09/09/2023,DAY A,PACKAGING,,Rust and White Rust,Quality of Tinplate,Intercepted cans were removed from the line.,NA,,,
11/09/2023,DAY B,FILLING/ AUTOCLAVE,,"Low weight within the range of 131.2g -143.9g volume observed on nozzles 2, 10, 20 and 30 of the CFT machine and high weight within the range of 157.3g - 161.5g observed on nozzles 23 and 8.",malfunctioning of the nozzles ,Filled cans with non-conforming weight were removed from the line ,Adjustment was made to the filling volume,,,
12/09/2023,DAY B,FILLING/ AUTOCLAVE,,"Low weight within the range of 135.2g -143.9g volume observed on nozzles 2, 10, 20 and 30 of the CFT machine and high weight within the range of 157.3g - 160.5g observed on nozzles 23 and 8.",malfunctioning of the nozzles ,Filled cans with non-conforming weight were removed from the line ,Adjustment was made to the filling volume,,,
13/09/2023,DAY B,PACKAGING,,Bad Seaming (Top Lid),False seaming from seamer heads,Intercepted cans were removed from the line.,Adjustment was made by the CFT  Operator and Engineer,,,
13/09/2023,DAY B,FILLING/ AUTOCLAVE,,Bad Seaming (Top Lid),False seaming from seamer heads.,Non-conforming cans were intercepted and removed from the line.,Adjustment was made by the CFT  Operator and Engineer,,,
14/09/2023,DAY A,PACKAGING,,White Patch,Quality of Tinplate,Intercepted cans were removed from the line.,NA,,,
15/09/2023,DAY A,PACKAGING,,Dent,Power outage at step 4 (Sterilization stage),Affected cans are being removed from the line by sorting from the trolleys.,NA,,,
16/09/2023,DAY A,FILLING/ AUTOCLAVE,,Weld margin leakages,Poor blank alignment/ weak weld margin,The issue was reported to the canning operators and defective cans were removed from the line ,Necessary adjustments were made by the operators,,,
16/09/2023,DAY A,PACKAGING,,White Rust,Quality of Tinplate,Intercepted cans were removed from the line.,NA,,,
17/09/2023,NIGHT B ,FILLING/ AUTOCLAVE,,"Low weight within the range of 135.2g -143.9g volume observed on nozzles 2, 10, 20 and 30 of the CFT machine and high weight within the range of 157.3g - 160.5g observed on nozzles 23 and 8.",malfunctioning of the nozzles ,Filled cans with non-conforming weight were removed from the line ,Adjustment was made to the filling volume,,,
18/09/2023,NIGHT B ,FILLING/ AUTOCLAVE,,"Low weight within the range of 135.2g -143.9g volume observed on nozzles 2, 10, 20 and 30 of the CFT machine and high weight within the range of 157.3g - 160.5g observed on nozzles 23 and 8.",malfunctioning of the nozzles ,Filled cans with non-conforming weight were removed from the line ,Adjustment was made to the filling volume,,,
19/09/2023,NIGHT B ,FILLING/ AUTOCLAVE,,"Low weight within the range of 135.2g -143.9g volume observed on nozzles 2, 10, 20 and 30 of the CFT machine and high weight within the range of 157.3g - 160.5g observed on nozzles 23 and 8.",malfunctioning of the nozzles ,Filled cans with non-conforming weight were removed from the line ,Adjustment was made to the filling volume,,,
21/09/2023,NIGHT A ,PACKAGING,,Dent ,Improper Positioning of the Magnetic Robot while placing the Cans into the Trolleys,Intercepted cans were removed from the line.,Necessary adjustments were made by the operators,,,
22/09/2023,NIGHT A ,PACKAGING,,Bad labelling,Malfunctioning of the Labelling machine temperature,Affected cans were removed from the line and re-labelled,Necessary adjustments were made by the operators,,,
23/09/2023,NIGHT B ,FILLING/ AUTOCLAVE,,High weight on the CFT machine  within the range of 157.3g - 165.5g observed on nozzles 23 and 8.,malfunctioning of the nozzles ,Filled cans with non-conforming weight were removed from the line ,Adjustment was made to the filling volume,,,
23/09/2023,NIGHT B ,FILLING/ AUTOCLAVE,,Dent ,malfunctioning of the magnetic head,Intercepted cans were removed from the line.,Necessary adjustments were made by the operators,,,
23/09/2023,DAY B,PACKAGING,,Rust and White patch,Quality of Tinplate,Intercepted cans were removed from the line.,NA,,,
23/09/2023,DAY B,FILLING/ AUTOCLAVE,,"Low weight on the CFT machine  within the range of 130.8g - 141.5g observed on nozzles 1,17 and 21.",Malfunction of the filling nozzles ,Filled cans with non-conforming weight were removed from the line ,Adjustment was made by the operator,,,
23/09/2023,DAY B,FILLING/ AUTOCLAVE,,Low pH of filled cans after autoclaving,Failure of steam value,The affected cans were burst ,Adjustment was made by the operator,,,
23/09/2023,NIGHT B ,PACKAGING,,Bad labelling/ breaking of code,Malfunctioning of the Labelling machine temperature,Affected cans were removed from the line and re-labelled,NA,,,
24/09/2023,DAY B,FILLING/ AUTOCLAVE,,Low weight on the CFT machine  within the range of 130.8g - 141.5g observed on nozzles 17 and 21.,Malfunction of the filling nozzles ,Filled cans with non-conforming weight were removed from the line ,Adjustment was made by the operator,,,
24/09/2023,NIGHT B ,FILLING/ AUTOCLAVE,,High weight on the CFT machine  within the range of 157.3g - 165.5g observed on nozzles 23 and 8.,malfunctioning of the nozzles ,Filled cans with non-conforming weight were removed from the line ,Adjustment was made to the filling volume,,,
24/09/2023,NIGHT B ,FILLING/ AUTOCLAVE,,Dent ,malfunctioning of the magnetic head,Intercepted cans were removed from the line.,Necessary adjustments were made by the operators,,,
25/09/2023,DAY B,FILLING/ AUTOCLAVE,,"Low weight on the CFT machine  within the range of 126.6g - 132.3g observed on nozzles 1,17 and 21.",Malfunction of the filling nozzles ,Filled cans with non-conforming weight were removed from the line ,Adjustment was made by the operator,,,
25/09/2023,NIGHT B ,FILLING/ AUTOCLAVE,,High weight on the CFT machine  within the range of 157.3g - 165.5g observed on nozzles 23 and 8.,malfunctioning of the nozzles ,Filled cans with non-conforming weight were removed from the line ,Adjustment was made to the filling volume,,,
26/09/2023,DAY A,PACKAGING,,Non-coded cans,Faulty Printer Head ,Affected cans were removed from the line and re-coded,Repair and Adjustment was made by the Engineer,,,
26/09/2023,NIGHT A ,PACKAGING,,Non-coded cans,Faulty Printer Head/Dripping of ink on cans,Affected cans were removed from the line and re-coded,Repair and Adjustment was made by the Engineer,,,
27/09/2023,DAY A,FILLING/ AUTOCLAVE,,Dented cans from Autoclave ,Prolonged exposure to heat due to delay in cooling as a result of air cut-off,Affected trolleys were isolated and placed on hold,Air supply was worked on ,,,
